Original,Filtered
-54746.91435204442,-4285.247401814311
-54941.061545386445,-4428.486846895352
-55108.85254938332,-4541.4658412028575
-55255.71990881293,-4630.332817830763
-55391.58224572347,-4707.282150446832
-55528.98106300799,-4788.047909331916
-55680.53482438983,-4888.367582182957
-55855.93915540922,-5019.977491812949
-56058.89961914061,-5186.876954948121
-56284.55841233516,-5382.666844498585
-56518.08681969308,-5589.6828837730745
-56735.07610384106,-5780.382535793881
-56904.10797768251,-5921.027353227496
-56991.43587149216,-5977.200618957546
-56967.14492288671,-5920.224461070889
-56811.63837154209,-5733.218444960858
-56520.994977685375,-5415.479893365084
-56109.79265150428,-4984.116039015877
-55610.44231364475,-4472.391411981723
-55068.84566708756,-3924.961096389912
-54537.09694984597,-3390.873592791153
-54064.73735926157,-2915.762327447249
-53690.5082351799,-2534.8545825638157
-53436.485036631646,-2268.2435681829074
